"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2021-22","Fall","CS","5934","Capstone Project","Hooshangi","3.74","80","0","0","0","20","0","0","0","0","0","0","0","0","5","91264","  3"
"2021-22","Fall","CS","5104","Comp and Formal Lang","Watson","2.92","40","0","20","0","0","20","0","0","0","20","0","0","1","5","91304","  3"
"2021-22","Spring","CS","2974","Independent Study","Back","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","13251","  3"
"2021-22","Spring","CS","5544","Compiler Optimizations","Ravindran","3.68","20","60","20","0","0","0","0","0","0","0","0","0","0","5","20571","  3"
"2012-13","Fall","CS","2304","Self Study Prog Sys","Morgan","3.53","70.6","0","5.9","11.8","5.9","0","0","0","0","0","0","5.9","0","17","91973","  1"
"2012-13","Fall","CS","5204","Operating Systems","Back","3.55","16.7","33.3","50","0","0","0","0","0","0","0","0","0","0","6","92009","  3"
"2012-13","Fall","CS","5214","Mod & Eval Comp Sys","Chen","3.62","50","16.7","0","33.3","0","0","0","0","0","0","0","0","0","6","96671","  3"
"2012-13","Spring","CS","5526","Data Analytics","Lu","3.9","66.7","33.3","0","0","0","0","0","0","0","0","0","0","0","6","18875","  3"
"2012-13","Spring","CS","5114","Theory of Algorithms","Murali","3.52","0","66.7","16.7","16.7","0","0","0","0","0","0","0","0","0","6","19247","  3"
"2013-14","Fall","CS","5045","Computation for Life Sciences","Zhang","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","92109","  3"
"2013-14","Fall","CS","5214","Mod & Eval Comp Sys","Chen","3.77","66.7","0","33.3","0","0","0","0","0","0","0","0","0","0","6","96859","  3"
"2013-14","Spring","CS","4994","Undergraduate Research","Dunlap","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","12259","  3"
"2013-14","Spring","CS","4994","Undergraduate Research","Fox","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","12259","  3"
